,events,hit_distance_sc,launch_angle,launch_speed,estimated_ba_using_speedangle
1332,home_run,398,24,105.5,0.869
1599,field_out,102,69,60.5,0.0
1936,single,24,-5,83.7,0.131
1080,field_out,299,17,96.1,0.511
1174,single,246,16,97.6,0.646
1210,double,311,18,99.8,0.411
1245,double,276,41,85.0,0.02
1343,single,50,-1,91.6,0.3
1499,home_run,440,29,107.0,0.94
1870,field_out,198,9,95.9,0.643
1947,home_run,390,21,104.0,0.634
2030,field_out,331,23,91.1,0.171
2229,single,262,11,102.7,0.894
1108,field_out,156,64,72.4,0.006
1152,single,214,10,95.8,0.703
1274,single,24,-5,97.3,0.274
1462,single,115,7,100.5,0.68
1718,single,77,3,101.7,0.56
2171,field_out,352,37,93.4,0.071
1335,field_out,176,60,73.4,0.026
1912,single,194,11,106.7,0.891
1979,double,313,19,104.8,0.549
2135,double,289,18,101.4,0.4
2269,field_out,118,72,74.9,0.003
1709,field_out,23,-5,64.3,0.109
1896,field_out,82,2,95.8,0.46
2261,field_out,298,31,89.3,0.054
1107,field_out,189,62,85.3,0.009
1246,double,253,16,105.3,0.571
1303,single,95,6,81.3,0.306
1501,home_run,397,20,108.5,0.817
1745,field_out,4,-21,86.8,0.114
94,field_out,123,11,72.4,0.294
111,home_run,418,32,109.0,0.894
168,field_out,325,18,102.4,0.42
829,grounded_into_double_play,57,1,100.2,0.443
840,single,46,2,82.1,0.223
965,field_out,24,-4,101.7,0.329
180,force_out,112,13,67.3,0.346
235,single,254,27,75.2,0.609
331,field_out,329,22,95.2,0.206
1035,field_out,0,-84,44.0,0.157
1257,single,136,9,81.0,0.414
1595,single,1,-54,75.1,0.217
1844,field_out,251,57,88.5,0.011
379,field_out,6,-19,59.2,0.057
477,field_out,379,32,98.3,0.297
486,single,26,-3,84.4,0.166
522,single,33,-1,79.9,0.189
1949,grounded_into_double_play,77,8,64.3,0.203
332,single,102,2,91.1,0.343
366,field_out,311,26,88.5,0.129
442,single,255,16,92.7,0.746
656,field_out,255,42,73.5,0.271
708,single,14,-7,99.8,0.271
550,field_out,281,50,89.8,0.017
581,home_run,401,34,108.3,0.797
782,field_out,1,-69,72.0,0.257
